ID	Type	Cluster representative	Virus Species	Host Species
SRR8493708_complete_2	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR8493713_complete_2	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
SRR8493714_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
WUR2 SRR11746834_complete_1	Complete	WUR2 SRR11746834_complete_1	Iflavirus pernudae	Bombyx mori
ERR3184368_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184369_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184370_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184371_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184372_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184373_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184374_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184376_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184377_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184378_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184379_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184380_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184382_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184383_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184384_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184385_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184386_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184387_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184388_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184389_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR3184391_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468579_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468593_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468594_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468595_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468604_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468605_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468607_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468608_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468610_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468611_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468612_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468614_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468615_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468616_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468617_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468618_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468623_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468627_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468629_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468636_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468639_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468641_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468643_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468651_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468657_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468674_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468677_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468678_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468679_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468681_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468682_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468683_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
ERR4468684_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468685_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
ERR4468686_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR10120158_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Dryas iulia
SRR10120163_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius sara
SRR1166407_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166408_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166409_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166410_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166411_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166412_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166414_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166415_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166416_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166417_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166418_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166419_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166420_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166421_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166422_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166423_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166424_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166425_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR1166426_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR17156958_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156965_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156966_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156967_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156968_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156969_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156970_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156971_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156972_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156981_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156982_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156983_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156984_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156985_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156986_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156987_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156988_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR17156989_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156990_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156991_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156992_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156993_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156994_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156995_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156996_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156997_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156998_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17156999_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157000_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157001_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157002_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157003_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157004_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157005_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157006_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157007_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157008_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157009_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157010_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157011_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157012_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157013_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157014_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157015_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157016_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157017_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157018_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157019_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR17157020_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076754_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076755_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076756_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076757_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076758_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076759_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076760_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076761_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076762_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076763_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076764_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076765_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076766_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076767_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076768_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076769_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076770_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076772_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076773_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR2076774_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076776_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076777_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076778_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076779_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076780_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076781_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076782_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076783_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076784_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076785_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076786_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076787_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076788_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076789_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076790_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076791_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076792_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076793_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius cydno
SRR2076798_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076799_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076800_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076802_pg_nr2	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076804_pg_nr1	Patched	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076805_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076806_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076807_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076808_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076809_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076810_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076811_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076812_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2076813_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius erato
SRR2175892_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2175893_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176024_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176032_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176033_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176034_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176035_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176036_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176037_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR2176092_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Vanessa cardui
SRR349678_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR349681_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR8104440_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR8104441_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR8104442_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR8104443_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR8104444_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR8104445_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR9620141_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR9620164_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Dione vanillae
SRR9620165_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Dione vanillae
SRR9620166_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Dione vanillae
SRR9620167_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Dione vanillae
SRR9620203_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR9920679_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR9920680_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR9920683_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR9920685_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
SRR9920689_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Junonia coenia
WUR20 ERR4468680_complete_1	Complete	WUR20 ERR4468680_complete_1	Iflavirus	Heliconius melpomene
SRR11746834_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11746835_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11746836_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11746837_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794144_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794145_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794146_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794147_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794148_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794149_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794151_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794152_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794153_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794154_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794155_complete_1	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR11794156_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR5295645_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR5295646_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR6997043_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR6997044_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR6997045_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR6997046_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR6997047_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR6997048_complete_2	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR8493701_pg_nr1	Patched	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR8493702_pg_nr1	Patched	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR8493704_pg_nr1	Patched	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR8493713_complete_1	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
SRR8493714_pg_nr1	Patched	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
WUR21 SRR8493708_complete_1	Complete	WUR21 SRR8493708_complete_1	Iflavirus	Bombyx mori
ERR912204_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
ERR912205_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
ERR912206_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035581_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035582_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035583_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035584_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035585_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035586_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035587_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035588_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035589_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035591_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035597_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035599_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035601_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035603_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035604_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035605_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035609_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035610_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035611_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035612_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035613_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035614_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035615_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035616_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035617_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035618_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035619_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035620_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035621_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035623_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035624_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035626_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035627_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035628_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035630_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035631_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035632_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035633_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035634_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035635_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
